Date,Platform,Post Title,Content Type,Topic,Impressions,Reach,Likes,Comments,Shares,Saves,Clicks,Followers,Total Engagement,Engagement Rate (%)
2026-02-08,ArtStation,Recruitment Post 34,Recruitment,Community,3557,2939,132,8,29,90,65,5592,259,8.81
2026-02-11,ArtStation,Cinematic Post 35,Cinematic,Game Development,6719,5677,245,31,29,163,29,5586,468,8.24
2026-02-14,Instagram,Gameplay Post 36,Gameplay,Game Development,25877,14465,1106,57,70,95,62,18919,1328,9.18
2026-02-17,ArtStation,Cinematic Post 37,Cinematic,Studio Updates,8863,6110,335,9,24,163,436,5645,531,8.69
2026-02-20,X,Behind the Scenes Post 38,Behind the Scenes,Game Development,7900,5295,125,27,52,13,274,12633,217,4.1
2026-02-23,X,Cinematic Post 39,Cinematic,Studio Updates,11267,7526,581,33,35,14,378,12652,663,8.81
2026-02-26,X,Behind the Scenes Post 40,Behind the Scenes,Studio Updates,15813,7879,436,40,18,8,379,12714,502,6.37
2026-03-01,LinkedIn,Gameplay Post 41,Gameplay,Marketing,7425,5455,178,21,14,9,291,4461,222,4.07
2026-03-04,Instagram,Recruitment Post 42,Recruitment,Community,19327,14149,992,131,92,291,138,18948,1506,10.64
2026-03-07,X,Artwork Post 43,Artwork,Studio Updates,16612,9286,632,30,56,13,91,12779,731,7.87
2026-03-10,ArtStation,Recruitment Post 44,Recruitment,Hiring,6934,5630,387,35,21,124,354,5676,567,10.07
2026-03-13,ArtStation,Recruitment Post 45,Recruitment,Game Development,3071,2165,468,14,21,123,581,5762,626,28.91
2026-03-16,Instagram,Artwork Post 46,Artwork,Hiring,14887,9787,1537,102,74,256,472,19014,1969,20.12
2026-03-19,X,Recruitment Post 47,Recruitment,Community,17057,8399,186,41,75,20,363,12770,322,3.83
2026-03-22,X,Gameplay Post 48,Gameplay,Hiring,8680,5656,250,8,15,7,506,12828,280,4.95
2026-03-25,Instagram,Announcement Post 49,Announcement,Community,14371,10484,1136,146,66,154,171,19077,1502,14.33
2026-03-28,Instagram,Cinematic Post 50,Cinematic,Studio Updates,21931,13261,1996,152,74,55,590,19088,2277,17.17
2026-03-31,Instagram,Announcement Post 51,Announcement,Game Development,23225,16649,1494,101,111,256,536,19122,1962,11.78
2026-04-03,LinkedIn,Behind the Scenes Post 52,Behind the Scenes,Community,9373,5293,313,58,43,4,553,4503,418,7.9
2026-04-06,X,Artwork Post 53,Artwork,Community,6269,3939,340,39,52,10,573,12818,441,11.2
2026-04-09,X,Behind the Scenes Post 54,Behind the Scenes,Game Development,11275,7029,823,32,18,13,437,12840,886,12.6
2026-04-12,LinkedIn,Announcement Post 55,Announcement,Studio Updates,5388,3815,458,54,40,0,409,4544,552,14.47
2026-04-15,Instagram,Artwork Post 56,Artwork,Hiring,20779,15861,2061,127,83,142,519,19130,2413,15.21
2026-04-18,ArtStation,Announcement Post 57,Announcement,Community,1737,1211,494,13,31,52,566,5745,590,48.72
2026-04-21,LinkedIn,Recruitment Post 58,Recruitment,Marketing,2444,1273,498,13,32,2,71,4557,545,42.81
2026-04-24,LinkedIn,Artwork Post 59,Artwork,Game Development,9449,5496,448,22,29,4,103,4597,503,9.15
2026-04-27,Instagram,Gameplay Post 60,Gameplay,Marketing,9706,7764,1066,77,98,65,61,19206,1306,16.82
